SModelS_status Analysis Disp MT_displaced_xsec THSCPM1b Tx Tx_weights file r_max m(N1) m(H+) ctau(H+) BR(H+)
Excluded ATLAS-SUSY-2016-32 0.0 0.2949 2.761310911801352 THSCPM1b "{'THSCPM1b': 2.761310911801352}" IDM_mhc_580_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 2.761 0.003162 580.0 48.246 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.1561 0.16127822061144326 THSCPM1b "{'THSCPM1b': 0.16127822061144326}" IDM_mhc_740_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.1612 0.001258 740.0 11.745 1[N1,mu-]
Excluded CMS-EXO-12-026 0.0 46.557 112.4585660072952 THSCPM1b "{'THSCPM1b': 112.4585660072952}" IDM_mhc_100_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 112.458 0.0006309 100.0 362.733 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 53.67981809347658 THSCPM1b "{'THSCPM1b': 53.67981809347658}" IDM_mhc_300_mn1_1.0_dm_5_la2_0.01_laL_0.01_.slha.py 53.679 1.0 300.0 58037.342 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2764 4.767108205549857 THSCPM1b "{'THSCPM1b': 4.767108205549857}" IDM_mhc_520_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 4.767 0.005011 520.0 95.327 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.9059 14.885420401226233 THSCPM1b "{'THSCPM1b': 14.885420401226233}" IDM_mhc_400_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 14.885 0.003162 400.0 102.241 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.01755 1.6580059591604306 THSCPM1b "{'THSCPM1b': 1.6580059591604306}" IDM_mhc_680_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 1.658 0.03162 680.0 350.491 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.4516 51.96533313086376 THSCPM1b "{'THSCPM1b': 51.96533313086376}" IDM_mhc_300_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 51.965 0.01258 300.0 730.84 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 12.687200579528106 THSCPM1b "{'THSCPM1b': 12.687200579528106}" IDM_mhc_440_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 12.687 0.5011 440.0 13332.902 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 2.4338708825452984 THSCPM1b "{'THSCPM1b': 2.4338708825452984}" IDM_mhc_640_mn1_0.31622_dm_5_la2_0.01_laL_0.01_.slha.py 2.433 0.3162 640.0 3954.448 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 100.222 26.27973514595215 THSCPM1b "{'THSCPM1b': 26.27973514595215}" IDM_mhc_180_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 26.279 5.011e-05 180.0 8.326 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.5086 128.72140807946167 THSCPM1b "{'THSCPM1b': 128.72140807946167}" IDM_mhc_160_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 128.721 0.03162 160.0 6734.708 1[N1,mu-]
Excluded CMS-EXO-12-026 0.0 0.3865 53.149599701158344 THSCPM1b "{'THSCPM1b': 53.149599701158344}" IDM_mhc_140_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 53.149 0.05011 140.0 14094.783 1[N1,mu-]
